feature_set,split_strategy,model,feature,mean_rmse_increase,std_rmse_increase,model_native_importance,direction_pearson_with_prediction,direction_pearson_with_target,direction_note,test_mean,train_median,importance_share_basis,importance_share_basis_value,importance_share,rank
B_lms_oulad,student_group,gradient_boosting,days_since_registration_start,-0.0024460956368188864,0.005285407163205793,0.0016000301966652588,-0.03240845474598072,-0.04308636629783832,weak or mixed direction in held-out predictions,237.08471074380165,233.0,positive_permutation_rmse_increase,0.0,0.0,21
B_lms_oulad,student_group,gradient_boosting,cumulative_assessment_clicks_to_date,-0.007235888728517636,0.006882861942060509,0.001251924497983759,0.3769219945208479,0.3582211586143512,higher values generally align with higher predicted final_grade,6.97237308146399,3.0,positive_permutation_rmse_increase,0.0,0.0,22
B_lms_oulad,temporal_forward,gradient_boosting,assessment_submission_rate_due_to_date,8.404601010019528,0.08450453656351262,0.6047699192933236,0.8625248925427798,0.8689094868616128,higher values generally align with higher predicted final_grade,0.6242142747824565,1.0,positive_permutation_rmse_increase,8.404601010019528,0.2783099956908651,1
B_lms_oulad,temporal_forward,gradient_boosting,cumulative_assessment_weighted_score_to_date,6.933532354598878,0.1028855026220113,0.18134096181796958,0.4108588663487415,0.38584987789371056,higher values generally align with higher predicted final_grade,69.84653936836109,75.22222222222223,positive_permutation_rmse_increase,6.933532354598878,0.22959702161119055,2
B_lms_oulad,temporal_forward,gradient_boosting,cumulative_submitted_weight_to_date,5.661028657033947,0.07445239895600729,0.022272291901486906,0.7382422238160725,0.7369655963544726,higher values generally align with higher predicted final_grade,64.54832415059688,22.5,positive_permutation_rmse_increase,5.661028657033947,0.18745932844006846,3
B_lms_oulad,temporal_forward,gradient_boosting,is_unregistered_by_week,4.953638924772717,0.06831708629518946,0.006045801355089468,-0.7098937992153028,-0.7049904426541059,higher values generally align with lower predicted final_grade,0.3274793388429752,0.0,positive_permutation_rmse_increase,4.953638924772717,0.1640348216606648,4
B_lms_oulad,temporal_forward,gradient_boosting,current_week_clicks,1.4477445028797786,0.046350985102329385,0.04597888988510843,0.36863246445592224,0.3402453199327454,higher values generally align with higher predicted final_grade,18.49265381083563,5.0,positive_permutation_rmse_increase,1.4477445028797786,0.04794061798740981,5
B_lms_oulad,temporal_forward,gradient_boosting,cumulative_assessment_score_mean_to_date,0.8183998818746342,0.031358008309359975,0.052760073147760184,0.44514806887065445,0.4216492340605169,higher values generally align with higher predicted final_grade,70.70127137172592,75.0,positive_permutation_rmse_increase,0.8183998818746342,0.02710049737356952,6
B_lms_oulad,temporal_forward,gradient_boosting,cumulative_content_clicks_to_date,0.6532800201446278,0.033311663382578016,0.004339875557364434,0.578059935571582,0.5517055378887783,higher values generally align with higher predicted final_grade,567.32782369146,218.0,positive_permutation_rmse_increase,0.6532800201446278,0.021632717528723856,7
B_lms_oulad,temporal_forward,gradient_boosting,current_week_activity_types,0.3754067540334158,0.018263099233320625,0.039658986143064456,0.6666381414876604,0.6488775495025805,higher values generally align with higher predicted final_grade,1.61455463728191,2.0,positive_permutation_rmse_increase,0.3754067540334158,0.01243122094348163,8
B_lms_oulad,temporal_forward,gradient_boosting,cumulative_clicks_to_date,0.322124957946095,0.022355081027257123,0.011505225419594721,0.6038392515687239,0.5748527317748245,higher values generally align with higher predicted final_grade,880.65645087236,310.0,positive_permutation_rmse_increase,0.322124957946095,0.010666847307923485,9
B_lms_oulad,temporal_forward,gradient_boosting,cumulative_social_clicks_to_date,0.21854867043516701,0.03104739175629881,0.010044300258547986,0.5981479757990203,0.567554376616603,higher values generally align with higher predicted final_grade,298.91689623507807,74.0,positive_permutation_rmse_increase,0.21854867043516701,0.007237021656892943,10
B_lms_oulad,temporal_forward,gradient_boosting,cumulative_assessment_score_count_to_date,0.17340120104359233,0.022056934768207435,0.0004955569933490528,0.8509779162728904,0.8508977815950611,higher values generally align with higher predicted final_grade,3.452364554637282,2.0,positive_permutation_rmse_increase,0.17340120104359233,0.005742008152165796,11
B_lms_oulad,temporal_forward,gradient_boosting,late_submission_rate_to_date,0.09520972544717393,0.02654444585880575,0.004925503404177383,-0.08813759017845285,-0.054116586979788675,weak or mixed direction in held-out predictions,0.11884674668765577,0.0,positive_permutation_rmse_increase,0.09520972544717393,0.003152775277177597,12
B_lms_oulad,temporal_forward,gradient_boosting,banked_assessment_rate_to_date,0.08054113409161445,0.02090384458445715,0.004108936240998616,-0.06544532185740441,-0.06330334133701318,weak or mixed direction in held-out predictions,0.031189328348419254,0.0,positive_permutation_rmse_increase,0.08054113409161445,0.0026670394769783994,13
B_lms_oulad,temporal_forward,gradient_boosting,has_assessment_score_to_date,0.05609692963428709,0.005492359079704977,1.2936374288364075e-05,0.5871945960003596,0.6002962061346601,higher values generally align with higher predicted final_grade,0.7768595041322314,1.0,positive_permutation_rmse_increase,0.05609692963428709,0.001857593980508651,14
B_lms_oulad,temporal_forward,gradient_boosting,cumulative_other_clicks_to_date,0.005148664890846414,0.014941037272504617,0.004445605117046182,0.22543553103429487,0.20301731760641142,higher values generally align with higher predicted final_grade,5.633723599632691,0.0,positive_permutation_rmse_increase,0.005148664890846414,0.00017049291237941164,15
B_lms_oulad,temporal_forward,gradient_boosting,course_week_progress,0.0,0.0,0.0008827263051526017,0.01258256572225492,-2.1336940643296422e-16,weak or mixed direction in held-out predictions,0.7763157894736842,0.3157894736842105,positive_permutation_rmse_increase,0.0,0.0,16
